trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
352,False,"{'a': 0.001, 'e': 0.703983753855621}",20,0,1.0811024957169568,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
353,False,"{'a': 0.001, 'e': 0.7032801219763409}",20,0,-94.08554264316436,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
354,False,"{'a': 0.001, 'e': 0.7025771933772416}",35,0,-133.13033143909078,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
355,False,"{'a': 0.001, 'e': 0.701874967355394}",25,0,-55.10571303828743,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
356,False,"{'a': 0.001, 'e': 0.7011734432085724}",20,6,-45.73651276271714,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
357,False,"{'a': 0.001, 'e': 0.7004726202352524}",25,1,-52.46135835658631,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 0}",1
358,False,"{'a': 0.001, 'e': 0.699772497734611}",30,0,-258.62845646026153,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 5}",0
359,False,"{'a': 0.001, 'e': 0.6990730750065257}",20,0,-36.762112461051366,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
360,False,"{'a': 0.001, 'e': 0.6983743513515736}",25,0,-74.16744180686842,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
361,False,"{'a': 0.001, 'e': 0.697676326071031}",25,7,-95.23947440131687,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 1}",1
362,False,"{'a': 0.001, 'e': 0.6969789984668727}",25,2,-31.19266337014346,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
363,False,"{'a': 0.001, 'e': 0.696282367841771}",20,0,-64.03847508705039,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
364,False,"{'a': 0.001, 'e': 0.6955864334990951}",25,0,-111.5052172115603,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
365,False,"{'a': 0.001, 'e': 0.6948911947429106}",25,11,-61.329586351833456,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
366,False,"{'a': 0.001, 'e': 0.6941966508779789}",25,2,-79.65583650238088,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
367,False,"{'a': 0.001, 'e': 0.6935028012097558}",20,9,-40.11784305263858,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
368,False,"{'a': 0.001, 'e': 0.6928096450443917}",25,0,-169.1071663412183,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
369,False,"{'a': 0.001, 'e': 0.6921171816887304}",20,12,-4.024627790337968,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
370,False,"{'a': 0.001, 'e': 0.6914254104503085}",30,0,-125.17455604820114,"{0: 22, 1: 0, 2: 3, 3: 4, 4: 1}",0
371,False,"{'a': 0.001, 'e': 0.6907343306373547}",20,4,-69.98072046192107,"{0: 8, 1: 3, 2: 3, 3: 2, 4: 0}",1
372,False,"{'a': 0.001, 'e': 0.690043941558789}",25,0,-113.30021580736812,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
373,False,"{'a': 0.001, 'e': 0.6893542425242224}",30,14,-53.13360179387672,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
374,False,"{'a': 0.001, 'e': 0.6886652328439558}",20,0,-83.44272305241259,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
375,False,"{'a': 0.001, 'e': 0.6879769118289795}",30,14,-2.880198485553021,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
376,False,"{'a': 0.001, 'e': 0.6872892787909722}",25,0,-90.87576728189487,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
377,False,"{'a': 0.001, 'e': 0.686602333042301}",25,0,-52.797346667673814,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
378,False,"{'a': 0.001, 'e': 0.6859160738960202}",30,0,-96.65145936422348,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
379,False,"{'a': 0.001, 'e': 0.6852305006658703}",30,7,-18.63475421369702,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
380,False,"{'a': 0.001, 'e': 0.6845456126662782}",30,12,-63.85583521119332,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
